Id,Property_type,RoomType,BedType,Min_Night,Max_Night,Cancel,Accomadate,Bedroom,amenities,Bed,Total_Reviews,Bathrooms,Price,Cleaning,ExtraPeople,Guests,Id_host,Location,Response,Host_neigh,Response_rate,Total_list,Vertify,Street,SubUrban,Gov_Area,Market,Country,C_Code,longitude,latitude,Avail_30,Avail_60,Avail_90,Avail_365,RScore_accur,RScore_neatness,RScore_checkin,RScore_comm,RScore_location,RScore_value,RScore_rate
32092400,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,6,2,"TV,Wifi,Air conditioning,Kitchen,Elevator,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance",4,1,1.5,801,150,50,4,240526225,"Hong Kong Island, Hong Kong",within an hour,Mong Kok,100.0,8,"email,phone","Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,114.17021,22.31342,0,4,28,28,10.0,10.0,10.0,10.0,10.0,10.0,100.0
32092426,Apartment,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,7,2,"TV,Wifi,Air conditioning,Kitchen,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self check-in,Smart lock,Hot water,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove",4,1,1.0,1052,380,100,4,30703209,"Hong Kong Island, Hong Kong",within an hour,Causeway Bay,98.0,6,"email,phone,reviews","Hong Kong, Hong Kong Island, Hong Kong",Causeway Bay,Wan Chai,Hong Kong,Hong Kong,HK,114.18218,22.27705,5,14,44,44,10.0,8.0,10.0,10.0,10.0,10.0,100.0
32106134,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2,1,"TV,Wifi,Free parking on premises,Smoking allowed,Pets allowed,Gym,Breakfast,Elevator,Heating,Washer,Dryer,Smoke detector,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance,Hot water,Host greets you",1,0,1.0,169,380,0,1,36410020,"Istanbul, Turkey",within an hour,Beşiktaş,100.0,6,"email,phone,google","Beşiktaş, İstanbul, Turkey",Beşiktaş,Besiktas,Istanbul,Turkey,TR,29.00222,41.05594,18,43,49,194,Not Specified,Not Specified,Not Specified,9.688311688311689,9.601078167115903,9.305147058823529,93.09924038225925
3217583,Apartment,Entire home/apt,Real Bed,1,1125,flexible,6,2,"TV,Kitchen,Smoking allowed,Doorman,Elevator,Buzzer/wireless intercom,Suitable for events,Essentials",2,0,2.0,601,380,0,1,16288086,"Rio, Rio de Janeiro, Brazil",within a few hours,Tijuca,98.0,1,"email,phone","Rio, Rio de Janeiro, Brazil",Tijuca,Tijuca,Rio De Janeiro,Brazil,BR,-43.22350821808652,-22.92243301881654,0,0,0,0,Not Specified,Not Specified,Not Specified,9.688311688311689,9.601078167115903,9.305147058823529,93.09924038225925
32180516,Apartment,Entire home/apt,Real Bed,5,5,flexible,6,2,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Smoking allowed,Elevator,Suitable for events,Washer,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Private entrance,Hot water,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony",4,0,1.0,1499,380,0,1,241453108,BR,within a few hours,Copacabana,98.0,1,"email,phone","Copacabana, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,-43.18821833384025,-22.968370827079838,6,6,6,6,Not Specified,Not Specified,Not Specified,9.688311688311689,9.601078167115903,9.305147058823529,93.09924038225925
32189176,Apartment,Entire home/apt,Real Bed,2,1125,flexible,4,2,"TV,Air conditioning,Pool,Kitchen,Free parking on premises,Gym,Elevator,Essentials,Lock on bedroom door,Iron,Laptop friendly workspace",3,0,2.0,201,380,0,1,241331072,BR,within a few hours,Recreio dos Bandeirantes,98.0,1,"email,phone,offline_government_id,selfie,government_id","Recreio dos Bandeirantes, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,-43.512240992686074,-23.02419318876795,24,54,84,174,Not Specified,Not Specified,Not Specified,9.688311688311689,9.601078167115903,9.305147058823529,93.09924038225925
3237716,Apartment,Private room,Real Bed,1,7,moderate,1,1,"Wifi,Kitchen,Doorman,Breakfast,Elevator,Washer,First aid kit,Safety card,Fire extinguisher,Essentials",1,0,1.0,149,50,0,1,16382065,RU,within a few hours,Not Specified,98.0,1,"email,phone","Rio, Rio de Janeiro, Brazil",Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,-43.18351446845545,-22.931686079449907,30,60,90,365,Not Specified,Not Specified,Not Specified,9.688311688311689,9.601078167115903,9.305147058823529,93.09924038225925
32678048,Apartment,Shared room,Real Bed,29,1125,flexible,1,1,"Wifi,Air conditioning,Kitchen,Iron",1,0,1.0,267,50,0,1,97240131,"Hong Kong, Hong Kong",within a few hours,Kennedy Town,98.0,229,"email,phone,jumio,offline_government_id,selfie,government_id,identity_manual","Hong Kong, Hong Kong Island, Hong Kong",Central,Central & Western,Hong Kong,Hong Kong,HK,114.15492,22.28064,30,60,90,365,Not Specified,Not Specified,Not Specified,9.688311688311689,9.601078167115903,9.305147058823529,93.09924038225925
32933572,Apartment,Entire home/apt,Real Bed,1,365,strict_14_with_grace_period,3,0,"Wifi,Air conditioning,Elevator,Heating,Essentials,Shampoo,Lock on bedroom door,Hair dryer",2,0,1.0,518,199,45,2,66914582,"Hong Kong, Hong Kong",within an hour,Tsim Sha Tsui,99.0,9,"email,phone,facebook,reviews,jumio,offline_government_id,government_id","Hong Kong, Kowloon, Hong Kong",Mong Kok,Yau Tsim Mong,Hong Kong,Hong Kong,HK,114.16922,22.31764,8,18,47,153,Not Specified,Not Specified,Not Specified,9.688311688311689,9.601078167115903,9.305147058823529,93.09924038225925
3631518,Apartment,Private room,Real Bed,7,1125,strict_14_with_grace_period,1,1,"TV,Wifi,Air conditioning,Elevator,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",1,27,1.0,424,0,0,1,15069940,"Kowloon, Hong Kong",within an hour,Tsim Sha Tsui,100.0,9,"email,phone,reviews,jumio,government_id","Kowloon, Tsim Sha Tsui, Hong Kong",Tsim Sha Tsui,Yau Tsim Mong,Hong Kong,Hong Kong,HK,114.1738,22.29841,26,47,47,59,10.0,10.0,10.0,10.0,10.0,9.0,92.0
